Unnamed: 0,LSTM,RandomForest,Ensemble Voting,Logistic,LightGBM,XGBoost,ANN,Ensemble Stacking
Accuracy,0.5242718446601942,0.5064724919093851,0.5064724919093851,0.5048543689320388,0.4967637540453074,0.4967637540453074,0.5242718446601942,0.517799352750809
Precision,0.5242718446601942,0.5826086956521739,0.5629139072847682,0.5284810126582279,0.5698924731182796,0.521311475409836,0.5242718446601942,0.5393939393939394
Recall,1.0,0.2067901234567901,0.2623456790123457,0.5154320987654321,0.1635802469135802,0.4907407407407407,1.0,0.5493827160493827
F1-Score,0.6878980891719745,0.3052391799544419,0.3578947368421052,0.521875,0.2541966426858513,0.5055643879173292,0.6878980891719745,0.54434250764526
ROC_AUC_Score,0.4965986394557823,0.505721424372218,0.5043251868648695,0.5326488620139413,0.4964306710338456,0.4962207105064248,0.4965986394557823,0.5136054421768708
