Eval_metric,Ensemble Stacking,ANN,RandomForest,LSTM,XGBoost,Logistic,LightGBM,Ensemble Voting
Accumulated_Returns_%,-30.483515170254503,-26.40487480842577,16.16754396065243,-26.40487480842577,-50.5002726048572,-36.70832969215931,9.055652744081131,-8.996374443056432
Sharpe_Ratio,-0.5117149627643214,-0.3316601677224386,0.458815736234485,-0.3316601677224386,-0.8027210012904202,-0.6062738771120184,0.3072955778123009,-0.2036250896924147
Information_Ratio,-0.0772348191686323,,0.5966413425003856,,-0.4948493403497503,-0.1994215118413106,0.4795685707132499,0.2628104044911751
ALPHA,-1.0,0.0,5192.19,0.0,-1.0,-1.0,165.15,-0.3
Sortino_Ratio,-0.4655960368404999,-0.433444592365666,0.3659182622261145,-0.433444592365666,-0.7019725437213382,-0.555801836413527,0.149720193811257,-0.1325293958529336
Maximum_Drawdown,21.87202851146948,31.154716921191728,13.55770873617912,31.154716921191728,27.459819804640336,21.52036512623666,9.651705740050076,13.55770873617912
Volatility,24.29124454631113,32.46412877262386,14.36866296544322,32.46412877262386,25.653204787104603,24.689282758701847,12.016359710813443,18.015690501409303
