Eval_metric,XGBoost,LightGBM,Logistic,ARIMA,Ensemble Voting,LSTM,RandomForest,Ensemble Stacking,ANN
Accumulated_Returns_%,9.769565972623012,22.25852038291638,9.758717507926296,54.99152133397072,18.415574544894486,55.951417382946566,2.135255251614776,17.980420739224634,55.951417382946566
Sharpe_Ratio,0.137686546457232,0.4708364728520502,0.1561019733171567,0.5832267555679586,0.3573795573369568,0.5930935618972866,0.0473453364345814,0.2540645964304787,0.5930935618972866
Information_Ratio,-0.7424844033884305,-0.4125248293204545,-0.6535769663698927,-0.306252420937972,-0.4747985807485891,,-0.6494349214398072,-0.6082872785434537,
ALPHA,-0.99,5.81,-0.97,-0.19,0.5,0.0,-0.92,-0.96,0.0
Sortino_Ratio,0.1052358979229016,0.1927418749036053,0.1249490530806804,0.6973529898916873,0.1824136294126725,0.7111315937586419,0.0188417465267827,0.1956130660330549,0.7111315937586419
Maximum_Drawdown,35.172311449139485,25.183235346449173,33.75991577826403,33.294535675449936,33.75991577826403,33.294535675449936,35.2917112914108,45.34857965116554,33.294535675449936
Volatility,16.648528057032088,11.092274758103123,14.668186655782138,22.12349885883079,12.090648850760846,22.135198070866668,10.581560630814351,16.60541321336201,22.135198070866668
