Unnamed: 0,Logistic,LightGBM,XGBoost,Ensemble Voting,LSTM,RandomForest,Ensemble Stacking,ANN
Train_Accuracy,0.5160642570281124,0.5687751004016064,0.6711847389558233,0.641566265060241,0.5522088353413654,0.6119477911646586,0.7038152610441767,0.5522088353413654
Train_Precision,0.5739130434782609,0.8472622478386167,0.7349524815205913,0.8496376811594203,0.5522088353413654,0.8811188811188811,0.7544910179640718,0.5522088353413654
Train_Recall,0.48,0.2672727272727273,0.6327272727272727,0.4263636363636364,1.0,0.3436363636363636,0.6872727272727273,1.0
Train_F1-Score,0.5227722772277228,0.4063579820317898,0.680019540791402,0.5677966101694916,0.7115135834411384,0.4944408109875736,0.7193149381541389,0.7115135834411384
Train_ROC_AUC_Score,0.5401651039543416,0.7331604158173665,0.7405320016306562,0.794938850387281,0.5,0.7864828781084385,0.7647339991846718,0.5
