Date,SPY,^VIX,RSI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,target
2012-01-23,-0.2579774732437201,2.1110358051409595,0.6869625252769848,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,-1.8199695762391332,2.110392692927965,-4.037596192658821,-3.3870504979839566,-3.3196233498517635,0
2012-01-24,-0.11403898647044386,1.2772912961124927,0.6255254621620916,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,-1.8199695762391332,2.110392692927965,-4.037596192658821,-3.3870504979839566,0
2012-01-25,0.8332526208675972,-3.22435450823213,0.5461854312961907,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,-1.8199695762391332,2.110392692927965,-4.037596192658821,1
2012-01-26,-0.5142894616820826,1.4100029411927117,0.5624755925001379,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,-1.8199695762391332,2.110392692927965,0
2012-01-27,-0.04550806972858368,-0.21562815776574595,0.5367890635353615,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,-1.8199695762391332,0
2012-01-30,-0.34194678008638846,4.588196905274389,0.5703475212345211,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,1.725000631442919,0
2012-01-31,-0.03806070145335738,0.2059780098497832,0.6819188636816189,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,-2.7940157755029116,0
2012-02-01,0.8719035080731352,-4.6863078579760575,0.5530294570887939,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,2.1267140013971897,1
2012-02-02,0.1584108273040563,-3.1209744340761514,0.565382723716928,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,5.986481710169755,1
2012-02-03,1.3921246522529351,-5.0181517767085015,0.4377892199954168,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,-6.082177689380508,1
2012-02-06,-0.06690897809953356,3.7870264634729534,0.45352012707439554,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,-5.005944755114067,0
2012-02-07,0.25251378145503267,-0.6212988685224907,0.5437559343571919,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,-8.340349521126189,1
2012-02-08,0.29635626719279884,2.8485603004440474,0.7923110529820052,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,2.1110358051409595,1
2012-02-09,0.12565963321211626,2.5551774795347537,0.8359858866577607,2.8485603004440474,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,1.2772912961124927,1
2012-02-10,-0.7415190420498874,10.969900634075191,0.9116599379915779,2.5551774795347537,2.8485603004440474,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,-3.22435450823213,0
2012-02-13,0.7415190420498874,-8.793006845919216,1.3783877027667373,10.969900634075191,2.5551774795347537,2.8485603004440474,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,1.4100029411927117,1
2012-02-14,-0.12565963321211626,2.59216160210074,1.1113084345023292,-8.793006845919216,10.969900634075191,2.5551774795347537,2.8485603004440474,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,-0.21562815776574595,0
2012-02-15,-0.4670795364862812,7.870325810156542,0.8847418971395261,2.59216160210074,-8.793006845919216,10.969900634075191,2.5551774795347537,2.8485603004440474,-0.6212988685224907,3.7870264634729534,-5.0181517767085015,-3.1209744340761514,-4.6863078579760575,0.2059780098497832,4.588196905274389,0
