,Ensemble Stacking
Train_Accuracy,0.7038152610441767
Train_Precision,0.7544910179640718
Train_Recall,0.6872727272727273
Train_F1-Score,0.7193149381541389
Train_ROC_AUC_Score,0.7647339991846718
