,ARIMA
Train_Accuracy,0.5507028112449799
Train_Precision,0.5617098133654425
Train_Recall,0.8481818181818181
Train_F1-Score,0.6758420862006518
Train_AIC,4806.604377989812
Train_BIC,4828.99195574239
