,Logistic
Accumulated_Returns_%,-36.70832969215931
Sharpe_Ratio,-0.6062738771120184
Information_Ratio,-0.19942151184131068
ALPHA,-1.0
Sortino_Ratio,-0.555801836413527
Maximum_Drawdown,21.52036512623666
Volatility,24.689282758701847
