,RandomForest
Accumulated_Returns_%,16.16754396065243
Sharpe_Ratio,0.45881573623448507
Information_Ratio,0.5966413425003856
ALPHA,5192.19
Sortino_Ratio,0.36591826222611457
Maximum_Drawdown,13.55770873617912
Volatility,14.368662965443221
