,Ensemble Voting
Accumulated_Returns_%,-8.996374443056432
Sharpe_Ratio,-0.2036250896924147
Information_Ratio,0.2628104044911751
ALPHA,-0.3
Sortino_Ratio,-0.13252939585293363
Maximum_Drawdown,13.55770873617912
Volatility,18.015690501409303
