,LightGBM
Accumulated_Returns_%,22.25852038291638
Sharpe_Ratio,0.4708364728520502
Information_Ratio,-0.4125248293204545
ALPHA,5.81
Sortino_Ratio,0.19274187490360536
Maximum_Drawdown,25.183235346449173
Volatility,11.092274758103123
