,Ensemble Stacking
Accumulated_Returns_%,17.980420739224634
Sharpe_Ratio,0.2540645964304787
Information_Ratio,-0.6082872785434537
ALPHA,-0.96
Sortino_Ratio,0.19561306603305495
Maximum_Drawdown,45.34857965116554
Volatility,16.60541321336201
