,Logistic
Accumulated_Returns_%,9.758717507926296
Sharpe_Ratio,0.15610197331715672
Information_Ratio,-0.6535769663698927
ALPHA,-0.97
Sortino_Ratio,0.12494905308068043
Maximum_Drawdown,33.75991577826403
Volatility,14.668186655782138
