,LSTM
Accumulated_Returns_%,55.951417382946566
Sharpe_Ratio,0.5930935618972866
Information_Ratio,
ALPHA,0.0
Sortino_Ratio,0.7111315937586419
Maximum_Drawdown,33.294535675449936
Volatility,22.135198070866668
