,XGBoost
Accumulated_Returns_%,9.769565972623013
Sharpe_Ratio,0.13768654645723205
Information_Ratio,-0.7424844033884305
ALPHA,-0.99
Sortino_Ratio,0.10523589792290167
Maximum_Drawdown,35.172311449139485
Volatility,16.648528057032088
