,ARIMA
Accumulated_Returns_%,54.99152133397072
Sharpe_Ratio,0.5832267555679586
Information_Ratio,-0.30625242093797206
ALPHA,-0.19
Sortino_Ratio,0.6973529898916873
Maximum_Drawdown,33.294535675449936
Volatility,22.12349885883079
